data\2004\01\02\1547495.xml	\Escapes	As told to Bethany Lyttle
data\2004\01\30\1554724.xml	\Escapes	As told to Bethany Lyttle
data\2004\03\05\1563857.xml	\Escapes	As told to Bethany Lyttle
data\2004\03\19\1567399.xml	\Escapes	As told to Bethany Lyttle
data\2004\04\09\1572708.xml	\Escapes	As told to Bethany Lyttle
data\2004\01\09\1549213.xml	\Escapes	As told to Seth Kugel
data\2004\01\23\1552893.xml	\Escapes	As told to Seth Kugel
data\2004\02\06\1556574.xml	\Escapes	As told to Seth Kugel
data\2004\02\13\1558403.xml	\Escapes	As told to Seth Kugel
data\2004\02\20\1560183.xml	\Escapes	As told to Seth Kugel
data\2004\02\27\1562017.xml	\Escapes	As told to Seth Kugel
data\2004\03\12\1565622.xml	\Escapes	As told to Seth Kugel
data\2004\03\26\1569200.xml	\Escapes	As told to Seth Kugel
data\2004\04\02\1570970.xml	\Escapes	As told to Seth Kugel
data\2004\01\16\1551034.xml	\Escapes	As told to Tina Kelley
fileName	dsk	author
data\2004\02\05\1556338.xml	\House & Home/Style Desk	By
data\2004\01\16\1551231.xml	\Business/Financial Desk	By
data\2004\01\18\1551833.xml	\Television	By A. J. FRUTKIN
data\2004\01\12\1550148.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\01\21\1552408.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\02\12\1558167.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\02\25\1561565.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\03\01\1563011.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\03\02\1563108.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\03\31\1570475.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\04\07\1572293.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\04\07\1572316.xml	\The Arts/Cultural Desk	By A. O. SCOTT
data\2004\01\16\1551050.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\16\1551051.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\23\1552927.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\30\1554747.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\30\1554767.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\30\1554772.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\01\30\1554774.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\06\1556586.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\06\1556603.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\06\1556712.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\06\1556828.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\13\1558421.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\13\1558422.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\13\1558447.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\20\1560206.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\20\1560221.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\20\1560367.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\20\1560371.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\02\27\1562025.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\05\1563848.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\05\1563864.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\12\1565630.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\12\1565655.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\19\1567417.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\19\1567422.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\19\1567433.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\26\1569207.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\26\1569223.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\26\1569227.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\26\1569234.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\04\02\1571001.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\04\02\1571007.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\04\02\1571134.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\04\09\1572725.xml	"\Movies, Performing Arts/Weekend Desk"	By A. O. SCOTT
data\2004\03\14\1566058.xml	\Book Review Desk	By A. O. Scott
data\2004\01\11\1549706.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\01\25\1553324.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\02\15\1558928.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\02\22\1560700.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\03\07\1564324.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\03\21\1567924.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\04\04\1571402.xml	\Arts and Leisure Desk	By A. O. SCOTT
data\2004\01\10\1549480.xml	\Arts & Ideas/Cultural Desk	By A. O. SCOTT
data\2004\03\27\1569452.xml	\Arts & Ideas/Cultural Desk	By A. O. SCOTT
data\2004\04\03\1571226.xml	\Arts & Ideas/Cultural Desk	By A. O. SCOTT
data\2004\04\03\1571227.xml	\Arts & Ideas/Cultural Desk	By A. O. SCOTT
data\2004\04\11\1573130.xml	\Television	By A.J. Frutkin
data\2004\01\25\1553331.xml	\Magazine Desk	By A.O. Scott
data\2004\02\15\1558924.xml	\Arts and Leisure Desk	By A.O. SCOTT
data\2004\02\15\1558927.xml	\Arts and Leisure Desk	By A.O. SCOTT
data\2004\03\14\1566274.xml	\Society Desk	By ABBY ELLIN
data\2004\01\18\1551982.xml	\Money and Business/Financial Desk	By ABBY ELLIN
data\2004\02\29\1562669.xml	\Money and Business/Financial Desk	By ABBY ELLIN
data\2004\04\04\1571580.xml	\Money and Business/Financial Desk	By ABBY ELLIN
data\2004\01\11\1550067.xml	\Job Market	By Abby Ellin
data\2004\01\25\1553643.xml	\Job Market	By ABBY ELLIN
data\2004\01\18\1551782.xml	\Education Life Supplement	By Abby Ellin
data\2004\01\18\1551803.xml	\Education Life Supplement	By Abby Ellin
data\2004\01\01\1547376.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\07\1548729.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\11\1549906.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\12\1550185.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\16\1551130.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\17\1551425.xml	\National Desk	By ABBY GOODNOUGH
data\2004\02\02\1555685.xml	\National Desk	By ABBY GOODNOUGH
data\2004\02\24\1561368.xml	\National Desk	By ABBY GOODNOUGH
data\2004\02\29\1562742.xml	\National Desk	By ABBY GOODNOUGH
data\2004\03\08\1564876.xml	\National Desk	By ABBY GOODNOUGH
data\2004\03\14\1566374.xml	\National Desk	By ABBY GOODNOUGH
data\2004\03\28\1569942.xml	\National Desk	By ABBY GOODNOUGH
data\2004\04\08\1572536.xml	\National Desk	By ABBY GOODNOUGH
data\2004\01\30\1554925.xml	\National Desk	By Abby Goodnough (NYT)
data\2004\02\14\1558789.xml	\National Desk	By Abby Goodnough (NYT)
data\2004\01\06\1548529.xml	\National Desk	By ABBY GOODNOUGH and ERIC LICHTBLAU
data\2004\04\03\1571265.xml	\Foreign Desk	"By ABBY GOODNOUGH and MICHAEL LUO; Abby Goodnough reported from Leesburg, Fla., for this article and Michael Luo from Willoughby, Ohio. Michele Kayal in Honolulu, Jo Napolitano in Chicago and Sonia Chopra in Leesburg also contributed reporting for this article."
data\2004\01\21\1552573.xml	\National Desk	"By ABBY GOODNOUGH and SARAH KERSHAW; Abby Goodnough reported from Miami and Sarah Kershaw from Seattle. Reporting was also contributed by Dennis Blank in Winter Park, Fla., Brian Libby in Portland and Matthew Preusch in Seattle."
data\2004\01\27\1554068.xml	\National Desk	By ABBY GOODNOUGH; Perry Athanason contributed reporting for this article.
data\2004\04\01\1570817.xml	\National Desk	By ABBY GOODNOUGH; Terry Aguayo contributed reporting for this article.
data\2004\03\17\1566976.xml	\Business/Financial Desk	By ABEER ALLAM
data\2004\01\13\1550449.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\03\02\1563224.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\03\11\1565561.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\03\12\1565787.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\03\26\1569404.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\04\01\1570879.xml	\Foreign Desk	By Abeer Allam (NYT)
data\2004\01\11\1549791.xml	\Society Desk	By ABIGAIL BESHKIN
data\2004\04\11\1573299.xml	\Society Desk	By ABIGAIL BESHKIN
data\2004\01\04\1548158.xml	\Connecticut Weekly Desk	By ABIGAIL SULLIVAN MOORE
data\2004\02\29\1562563.xml	\Connecticut Weekly Desk	By ABIGAIL SULLIVAN MOORE
data\2004\03\28\1569770.xml	\Connecticut Weekly Desk	By ABIGAIL SULLIVAN MOORE
data\2004\03\02\1563095.xml	\Science Desk	By ABIGAIL ZUGER
data\2004\03\23\1568503.xml	\Science Desk	By ABIGAIL ZUGER
data\2004\03\30\1570379.xml	\Health & Fitness	By ABIGAIL ZUGER
data\2004\02\24\1561319.xml	\Health & Fitness	"By ABIGAIL ZUGER, M.D."
data\2004\03\16\1566698.xml	\Health & Fitness	"By ABIGAIL ZUGER, M.D."
data\2004\02\22\1560697.xml	\Magazine Desk	By Abraham Verghese
data\2004\01\08\1548996.xml	\Circuits	By Adam Baer
data\2004\01\08\1548998.xml	\Circuits	By Adam Baer
data\2004\01\29\1554549.xml	\Circuits	By Adam Baer
data\2004\02\12\1558171.xml	\Circuits	By Adam Baer
data\2004\02\19\1559960.xml	\Circuits	By Adam Baer
data\2004\03\11\1565386.xml	\Circuits	By Adam Baer
data\2004\03\25\1568981.xml	\Circuits	By Adam Baer
data\2004\01\25\1553551.xml	\Connecticut Weekly Desk	By ADAM BOWLES
data\2004\04\11\1573416.xml	\Sports Desk	By Adam Clymer
data\2004\02\05\1556353.xml	\Editorial Desk	By Adam Clymer
data\2004\01\18\1551801.xml	\Education Life Supplement	By Adam Cohen
data\2004\01\02\1547574.xml	\Editorial Desk	By ADAM COHEN
